City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Ada,US,77.61,clear sky,43.4166,-116.1262,
495,Inirida,CO,71.1,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
498,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
502,Leo,BF,73.08,overcast clouds,11.1,-2.1,Hotel Sissilis
504,Sal Rei,CV,73.11,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
505,Guacimo,CR,73.63,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
506,Les Abymes,GP,78.39,clear sky,16.271,-61.5045,Établissement Bristol
511,Bafoulabe,ML,85.89,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
513,Mlonggo,ID,83.61,light rain,-6.5333,110.7,Asia Metal Art
517,Formosa,AR,73.38,broken clouds,-26.1775,-58.1781,Asterión Departamentos
519,Villacarrillo,ES,71.19,few clouds,38.1156,-3.0848,Hotel Sierra de Las Villas
522,Kuryk,KZ,81.36,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
523,Jasper,US,83.23,clear sky,37.2001,-94.3502,Guest House Motel
524,Shadegan,IR,78.75,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
527,Hit,IQ,86.13,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
528,Inuvik,CA,72.36,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
529,Jorhat,IN,72.73,light rain,26.75,94.2167,Hotel Jora Palace
531,Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
533,Pasighat,IN,72.16,light rain,28.0667,95.3333,Siang Guest House
535,Sola,VU,81.28,broken clouds,-13.8833,167.55,Leumerus Bungalows
536,Klyuchevskiy,RU,75.33,broken clouds,53.5317,119.4519,
538,Bhaderwah,IN,71.94,overcast clouds,32.9784,75.7186,Hotel Shiv Residency and Restaurant Bhaderwah (J&K)
539,Phuket,TH,86.09,scattered clouds,8.0,98.25,The Surin
541,Aginskoye,RU,78.49,broken clouds,51.1,114.53,Кочевник
542,Praxedis Guerrero,MX,87.26,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
545,Kerema,PG,84.27,scattered clouds,-7.9631,145.7785,Frena Lodge
546,Ugoofaaru,MV,83.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
549,Banda Aceh,ID,83.79,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
553,Yining,CN,83.26,overcast clouds,29.0361,114.5636,Xiushui Hotel
556,Cozumel,MX,80.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
559,Tagusao,PH,87.37,clear sky,9.1924,117.8141,Green Villa beach resort
561,Ternate,ID,84.27,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
563,Tottori,JP,80.67,few clouds,35.5,134.2333,Hotel Monarque Tottori
564,San Andres,CO,77.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
